[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_Invoice_HalfHit_Large.contains_SortedSet           avgt   20  663.123 ±  4.553  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Array               avgt   20   72.747 ±  0.375  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_ArraySet            avgt   20    0.896 ±  0.042  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_BitSet              avgt   20    2.975 ±  0.045  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_JavaHashSet         avgt   20    6.079 ±  0.263  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Set                 avgt   20    7.611 ±  0.132  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_SortedSet           avgt   20   21.347 ±  0.111  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Array           avgt   20    4.661 ±  0.031  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_ArraySet        avgt   20    0.860 ±  0.004  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_BitSet          avgt   20    2.554 ±  0.013  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_JavaHashSet     avgt   20    5.721 ±  0.070  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Set             avgt   20    5.601 ±  0.075  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_SortedSet       avgt   20    8.223 ±  0.097  us/op

[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_ArraySet         avgt   20    2.864 ±  0.016  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_BitSet           avgt   20    3.465 ±  0.022  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_JavaHashSet      avgt   20   12.235 ±  0.111  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_Set              avgt   20   47.670 ±  0.359  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_SortedSet        avgt   20  676.484 ±  5.673  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Array            avgt   20   71.798 ±  0.529  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_ArraySet         avgt   20    0.880 ±  0.009  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_BitSet           avgt   20    3.148 ±  0.150  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_JavaHashSet      avgt   20    6.638 ±  0.118  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Set              avgt   20    8.993 ±  0.095  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_SortedSet        avgt   20   19.419 ±  0.684  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Array        avgt   20    4.620 ±  0.076  us/op
