[info] Benchmark                                             Mode  Cnt      Score     Error  Units
[info] StatsBenchmark_Large.fastForeach_immutable_nonfinal   avgt   20  18186.662 ± 595.593  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_final        avgt   20  18193.395 ± 949.768  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_nonfinal     avgt   20  18583.610 ± 180.656  us/op
[info] StatsBenchmark_Large.foreach_array                    avgt   20  16545.561 ± 233.001  us/op
[info] StatsBenchmark_Large.foreach_immutable_final          avgt   20  19420.680 ± 544.856  us/op
[info] StatsBenchmark_Large.foreach_immutable_nonfinal       avgt   20  19563.535 ± 739.346  us/op
[info] StatsBenchmark_Large.foreach_mutable_final            avgt   20  16737.573 ± 258.050  us/op
[info] StatsBenchmark_Large.foreach_mutable_nonfinal         avgt   20  17700.995 ± 343.291  us/op
[info] StatsBenchmark_Small.fastForeach2_immutable_final     avgt   20      0.810 ±   0.061  us/op
[info] StatsBenchmark_Small.fastForeach2_immutable_nonfinal  avgt   20      0.859 ±   0.069  us/op
[info] StatsBenchmark_Small.fastForeach2_mutable_final       avgt   20      0.534 ±   0.002  us/op
[info] StatsBenchmark_Small.fastForeach2_mutable_nonfinal    avgt   20      0.536 ±   0.008  us/op
[info] StatsBenchmark_Small.fastForeach_array                avgt   20      0.362 ±   0.004  us/op
[info] StatsBenchmark_Small.fastForeach_immutable_final      avgt   20      0.748 ±   0.006  us/op
[info] StatsBenchmark_Small.fastForeach_immutable_nonfinal   avgt   20      0.734 ±   0.036  us/op
[info] StatsBenchmark_Small.fastForeach_mutable_final        avgt   20      0.415 ±   0.007  us/op
[info] StatsBenchmark_Small.fastForeach_mutable_nonfinal     avgt   20      0.394 ±   0.008  us/op
[info] StatsBenchmark_Small.foreach_array                    avgt   20      0.322 ±   0.005  us/op
[info] StatsBenchmark_Small.foreach_immutable_final          avgt   20      0.782 ±   0.019  us/op
[info] StatsBenchmark_Small.foreach_immutable_nonfinal       avgt   20      0.854 ±   0.082  us/op
[info] StatsBenchmark_Small.foreach_mutable_final            avgt   20      0.316 ±   0.008  us/op
[info] StatsBenchmark_Small.foreach_mutable_nonfinal         avgt   20      0.315 ±   0.005  us/op

[info] Benchmark                                             Mode  Cnt      Score      Error  Units
[info] StatsBenchmark_Large.fastForeach2_immutable_final     avgt   20  19596.585 ±  807.106  us/op
[info] StatsBenchmark_Large.fastForeach2_immutable_nonfinal  avgt   20  19556.989 ±  477.543  us/op
[info] StatsBenchmark_Large.fastForeach2_mutable_final       avgt   20  19485.994 ±  133.313  us/op
[info] StatsBenchmark_Large.fastForeach2_mutable_nonfinal    avgt   20  19458.156 ±  585.008  us/op
[info] StatsBenchmark_Large.fastForeach_array                avgt   20  17793.109 ±  170.651  us/op
[info] StatsBenchmark_Large.fastForeach_immutable_final      avgt   20  18934.740 ±  518.913  us/op
[info] StatsBenchmark_Large.fastForeach_immutable_nonfinal   avgt   20  18651.415 ±  389.214  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_final        avgt   20  18751.809 ±  262.034  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_nonfinal     avgt   20  18318.784 ± 1053.758  us/op
[info] StatsBenchmark_Large.foreach_array                    avgt   20  16687.005 ±  652.669  us/op
[info] StatsBenchmark_Large.foreach_immutable_final          avgt   20  19430.129 ±  511.390  us/op
[info] StatsBenchmark_Large.foreach_immutable_nonfinal       avgt   20  19370.662 ±  434.881  us/op
[info] StatsBenchmark_Large.foreach_mutable_final            avgt   20  16812.322 ±  221.720  us/op
[info] StatsBenchmark_Large.foreach_mutable_nonfinal         avgt   20  16512.371 ±  623.529  us/op
[info] StatsBenchmark_Small.fastForeach2_immutable_final     avgt   20      0.773 ±    0.035  us/op
[info] StatsBenchmark_Small.fastForeach2_immutable_nonfinal  avgt   20      0.771 ±    0.027  us/op
[info] StatsBenchmark_Small.fastForeach2_mutable_final       avgt   20      0.527 ±    0.008  us/op
[info] StatsBenchmark_Small.fastForeach2_mutable_nonfinal    avgt   20      0.560 ±    0.010  us/op
